ISBN,Title,Author,Year-Of-Publication,Publisher
1570717257,Man and Boy,Tony Parsons,2001,Sourcebooks Landmark
0385420161,"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",Laura Esquivel,1992,Doubleday Books
0345339711,"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN,1986,Del Rey
039304016X,The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,1997,Little Brown and Company
0399147128,The Villa,Nora Roberts,2001,Putnam Publishing Group
0670031046,In This Mountain,Jan Karon,2002,Viking Books
0394574745,"All the Pretty Horses (Border Trilogy, Vol 1)",Cormac McCarthy,1992,Alfred A. Knopf
0316969443,Suzanne's Diary for Nicholas,James Patterson,2001,"Little, Brown"
0743230051,He Sees You When You're Sleeping : A Novel,Mary Higgins Clark,2001,Scribner
0316693200,2nd Chance,James Patterson,2002,"Little, Brown"
0684864320,LAKE NEWS : A Novel,Barbara Delinsky,1999,Simon &amp; Schuster
0451176812,Voice of the Eagle,Linda Lay Shuler,1993,Signet Book
0064407667,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,1999,HarperCollins
0140253580,Therapy,David Lodge,1996,Penguin Putnam~trade
0349101779,The Wasp Factory,Iain Banks,0,Abacus
0743222229,George W. Bushisms : The Slate Book of The Accidental Wit and Wisdom of our 43rd President,Jacob Weisberg,2001,Fireside
2253063339,Les Fourmis,Bernard Werber,2002,LGF
0767908473,The Sorcerer's Companion: A Guide to the Magical World of Harry Potter,ALLAN ZOLA KRONZEK,2001,Broadway
0140622063,Scottish Folk and Fairy Tales (Penguin Popular Classics),Gordon Jarvie,1997,Penguin Books Ltd
0375501347,Amy and Isabelle,Elizabeth Strout,1999,Random House Inc
0060927240,"Rule of the Bone : Novel, A",Russell Banks,1996,Perennial
0316776963,Me Talk Pretty One Day,David Sedaris,2001,Back Bay Books
156341029X,Stone Butch Blues,Leslie Feinberg,1993,Firebrand Books
0060934719,stardust,Neil Gaiman,2001,Perennial
0451181379,The Door to December,Dean R. Koontz,1994,Signet Book
0345370740,The Scions of Shannara (Heritage of Shannara (Paperback)),Terry Brooks,1993,Del Rey Books
0679801146,Alanna: The First Adventure (Song of the Lioness (Paperback)),Tamora Pierce,1989,Random House Children's Books
0446300101,"The Beans of Egypt, Maine",Carolyn Chute,1986,Warner Books
0425142485,The Funhouse,Dean R. Koontz,1994,Berkley Publishing Group
0786886463,A Density of Souls,Christopher Rice,2001,Miramax
038529929X,Hannibal,Thomas Harris,1999,Del Sol Press
1573229571,About a Boy (Movie Tie-In),Nick Hornby,2002,Riverhead Books
0345418778,Mostly Harmless,Douglas Adams,2000,Ballantine Books
0743211383,Dreamcatcher,Stephen King,2001,Scribner
0812521331,"People of the Wolf (The First North Americans series, Book 1)",W. Michael Gear,1992,Tor Books
0451205421,The Door to December,Dean R. Koontz,2002,Signet Book
0440218535,Smilla's Sense of Snow,Peter Hoeg,1997,Island
0590897985,The Music of Dolphins (Apple Signature Edition),Karen Hesse,1998,Hyperion Books for Children
0064405052,The Magician's Nephew (Narnia),C. S. Lewis,1994,HarperTrophy
0152162577,Deep Wizardry: The Second Book in the Young Wizards Series,Diane Duane,2001,Magic Carpet Books
015216250X,So You Want to Be a Wizard: The First Book in the Young Wizards Series,Diane Duane,2001,Magic Carpet Books
0345391802,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1995,Ballantine Books
0440219078,The Giver (21st Century Reference),LOIS LOWRY,1994,Laure Leaf
3404118960,Die S�?¤ulen der Erde. Roman.,Ken Follett,1992,L�?¼bbe
0345356578,A Man Rides Through (Man Rides Through),Stephen Donaldson,1990,Del Rey Books
0345346971,Mirror of Her Dreams (Mordant's Need),STEPHEN R. DONALDSON,1987,Del Rey
0753804700,Reader,Bernhard Schlink,0,Phoenix Books
0451155750,The Dead Zone,Stephen King,2004,Signet Book
0786890436,The Diary of Ellen Rimbauer: My Life at Rose Red,Ellen Rimbauer,2002,Hyperion Press
0671694049,LONG DARK TEA TIME OF THE SOUL,Douglas Adams,1990,Pocket
0449006557,Half Moon Street (Charlotte &amp; Thomas Pitt Novels (Paperback)),Anne Perry,2001,Ballantine Books
0380820447,"For Better, for Worse: A Novel",Carole Matthews,2002,Avon Trade
0451454243,The Forest House,Marion Zimmer Bradley,1995,Roc
039914563X,The Bear and the Dragon,Tom Clancy,2000,G. P. Putnam's Sons
0425161722,Net Force,Tom Clancy,1999,Berkley Publishing Group
0385493800,The Testament,John Grisham,1999,Doubleday Books
067175145X,The Way Things Ought to Be,"Rush H., III Limbaugh",1992,Pocket Books
0440211727,A Time to Kill,JOHN GRISHAM,1992,Dell
0380002450,Awakening,Kate Chopin,1982,Avon
0425134350,Patriot Games,Tom Clancy,1992,Berkley Publishing Group
044661162X,Chasing the Dime,Michael Connelly,2003,Warner Books
0671742566,Tender Triumph (Sonnet Books),Judith McNaught,1991,Pocket
0515122408,The Cat Who Tailed a Thief,Lilian Jackson Braun,1998,Jove Books
0440222818,Guilt,John T. Lescroart,1998,Island
0451204050,On Secret Service,John Jakes,2001,Signet Book
038533334X,Charming Billy,Alice McDermott,1999,Delta
0440130913,Golden Cup,Belva Plain,1987,Dell
0345404777,No Safe Place,RICHARD NORTH PATTERSON,1999,Ballantine Books
0451185277,Thorns of Truth,Eileen Goudge,1999,Signet Book
0440224829,Granny Dan,DANIELLE STEEL,2000,"Random House, Inc."
0515134368,The Penwyth Curse,Catherine Coulter,2004,Jove Books
0380759497,Xanth 15: The Color of Her Panties,Piers Anthony,1992,Eos
068983571X,Hound of the Baskervilles (Aladdin Classics),Sir Arthur Conan Doyle,2000,Aladdin
1551668785,Final Stand,Helen Myers,2002,Mira
0380817144,Lord of the Silent: A Novel of Suspense,Elizabeth Peters,2002,Avon
0553212583,Wuthering Heights,EMILY BRONTE,1983,Bantam
0446364762,The Stars Shine Down,Sidney Sheldon,1993,Warner Books
0425166619,Toxin,Robin Cook,1999,Berkley Publishing Group
0765341972,The Mothman Prophecies,John A. Keel,2002,Tor Books
0064472779,All-American Girl,Meg Cabot,2003,HarperTrophy
0553561618,Dark Paradise,TAMI HOAG,1994,Bantam
0312422156,Middlesex: A Novel,Jeffrey Eugenides,2003,Picador
0140065172,Ordinary People,Judith Guest,1993,Penguin Books
044022165X,The Rainmaker,JOHN GRISHAM,1996,Dell
0399143165,Toxin,Robin Cook,1998,Putnam Pub Group
0425124347,The Bad Place,Dean R. Koontz,1994,Berkley Publishing Group
0312282990,The Amazing Adventures of Kavalier &amp; Clay,Michael Chabon,2001,Picador
0425137945,Greygallows,Barbara Michaels,1993,Berkley Publishing Group
042512892X,Into the Darkness,Barbara Michaels,1996,Berkley Publishing Group
0425113892,Someone in the House,Barbara Michaels,1989,Berkley Publishing Group
0394820371,The Phantom Tollbooth,Norton Juster,1993,Yearling Books
0449134482,Dances With Wolves,Michael Blake,1990,Fawcett Books
0812516826,Catnap : A Midnight Louie Mystery (A Midnight Louie Mystery),Carole Nelson Douglas,1993,Forge Books
0345348036,The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,WILLIAM GOLDMAN,1987,Del Rey
0553568760,Natural Causes,Michael Palmer,1995,Bantam Books
034538184X,Degree of Guilt,Richard North Patterson,1995,Ballantine Books
0140620125,Wuthering Heights (Penguin Popular Classics),Emily Bronte,1994,Penguin Books Ltd
0140620109,Emma (Penguin Popular Classics),Jane Austen,1994,Penguin Books Ltd
0375420827,The Art of Travel,Alain de Botton,2002,Pantheon
0671745530,SO LONG AND THANKS FOR ALL THE FISH (Hitchhiker's Trilogy (Paperback)),Douglas Adams,1991,Pocket
0805062971,Fight Club,Chuck Palahniuk,1999,Owl Books
0671510053,SHIPPING NEWS,Annie Proulx,1994,Scribner
1573229385,The Frog King: A Love Story,Adam Davies,2002,Riverhead Books
0385334036,The Smoke Jumper,Nicholas Evans,2001,Delacorte Press
0060914653,The Unbearable Lightness of Being,Milan Kundera,1988,Harpercollins
0345347536,A Spell for Chameleon (Xanth Novels (Paperback)),Piers Anthony,1987,Del Rey Books
055321313X,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1982,Bantam Classics
0060529709,Everything Is Illuminated : A Novel,Jonathan Safran Foer,2003,Perennial
0140274154,On the Road (Essential.penguin S.),Jack Kerouac,1998,Penguin Books Ltd
0679743464,Hard-Boiled Wonderland and the End of the World: A Novel (Vintage International),Haruki Murakami,1993,Vintage Books USA
0375704027,Norwegian Wood (Vintage International Original),Haruki Murakami,2000,Vintage Books USA
0590484753,Talking to Dragons (Enchanted Forest Chronicles (Paperback)),Patricia C. Wrede,1995,Point Fantasy
0590484672,Calling on Dragons (Read with Me Paperbacks),Patricia C. Wrede,1994,Point Fantasy
0743237188,Fall On Your Knees (Oprah #45),Ann-Marie MacDonald,2002,Touchstone
0553586122,Reap the Wind,Iris Johansen,2002,Bantam Books
0553584510,The Survivors Club,LISA GARDNER,2003,Bantam
0440175623,Random Winds,Belva Plain,1987,Dell
0440216842,The Carousel,Belva Plain,1998,Dell
0345443284,While I Was Gone,Sue Miller,1999,Ballantine Books
0553285653,Grass,Sheri S. Tepper,1990,Spectra Books
0394800133,One Fish Two Fish Red Fish Blue Fish (I Can Read It All by Myself Beginner Books),DR SEUSS,1960,Random House Books for Young Readers
0060972777,This Boy's Life: A Memoir,Tobias Wolff,1989,Perennial
0156001942,Winter's Tale,Mark Helprin,1995,Harvest Books
055326382X,The Dancing Wu Li Masters: An Overview of the New Physics,Gary Zukav,1994,Bantam Books
0345418018,The World According to Garp (Ballantine Reader's Circle),John Irving,1997,Ballantine Books
0684801469,Farewell To Arms,Ernest Hemingway,1995,Scribner
0140253602,Felicia's Journey,William Trevor,1996,Penguin Books
0671789422,Possessing the Secret of Joy,Alice Walker,1993,Pocket
014016930X,Angle of Repose (Contemporary American Fiction),Wallace Stegner,1992,Penguin Books
0140077022,White Noise (Contemporary American Fiction),Don DeLillo,1991,Penguin Books
0679732764,Invisible Man,Ralph Ellison,1995,Vintage Books USA
0553273604,Of Love and Shadows,Isabel Allende,1988,Bantam Books
0553273914,The House of the Spirits,Isabel Allende,1986,Bantam Books
0060256672,Where the Sidewalk Ends : Poems and Drawings,Shel Silverstein,1974,HarperCollins
039592720X,Interpreter of Maladies,Jhumpa Lahiri,1999,Houghton Mifflin Co
0060928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997,Perennial
0671003755,She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,1996,Washington Square Press
0553268449,JITTERBUG PERFUME,TOM ROBBINS,1985,Bantam
038001503X,One Hundred Years of Solitude,Gabriel Garcia Marquez,1970,Avon Books
0440215625,Dragonfly in Amber,DIANA GABALDON,1993,Dell
0316777730,Naked,David Sedaris,1998,Back Bay Books
0375501851,White Teeth,Zadie Smith,2000,Random House
0877733759,Writing Down the Bones,NATALIE GOLDBERG,1986,Shambhala
0805019367,"K Is for Killer (Grafton, Sue. Kinsey Millhone Mysteries.)",Sue Grafton,1994,Henry Holt &amp; Company
0140070206,Ironweed,William J. Kennedy,1989,Penguin Books
0140042393,The Grapes of Wrath,John Steinbeck,1976,Penguin USA
0671726889,CUCKOO'S EGG,Clifford Stoll,1990,Pocket
0446601241,Kiss the Girls,James Patterson,1995,Warner Books
0451124340,Different Seasons,Stephen King,1983,Penguin Putnam~mass
0345384466,The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,1993,Ballantine Books
0446604801,Jack &amp; Jill (Alex Cross Novels),James Patterson,1997,Warner Books
0345422392,Vittorio the Vampire: New Tales of the Vampires,Anne Rice,2001,Ballantine Books
0679734775,The House on Mango Street (Vintage Contemporaries),SANDRA CISNEROS,1991,Vintage
0425124819,Black Rainbow,Barbara Michaels,1994,Berkley Publishing Group
0345409469,The Demon-Haunted World: Science As a Candle in the Dark,Carl Sagan,1997,Ballantine Books
1558747346,"Teen Love:  On Relationships, A Book for Teenagers",Kimberly Kirberger,1999,Health Communications
0373250177,On The Verge (Red Dress Ink (Paperback)),Ariella Papa,2002,Red Dress Ink
0141001771,Welcome to My Planet: Where English Is Sometimes Spoken,Shannon Olson,2001,Penguin Books
0451523369,"Frankenstein Or, the Modern Prometheus",Mary Wollstonecraft Shelley,1994,Signet Book
0786884622,World of Pies : A Novel,Karen Stolz,2001,Hyperion
0449005569,Love: A User's Guide,CLARE NAYLOR,1999,Ballantine Books
0671027344,The Perks of Being a Wallflower,Stephen Chbosky,1999,MTV
006019491X,Daughter of Fortune : A Novel (Oprah's Book Club (Hardcover)),Isabel Allende,1999,HarperCollins
0684819066,"A Beautiful Mind : A Biography of John Forbes Nash, Jr.",Sylvia Nasar,1998,Simon &amp; Schuster
0375420673,The Bridegroom: Stories (Great Reads),Ha Jin,2000,Pantheon Books
0066211611,Portrait in Sepia,Isabel Allende,2001,HarperCollins Publishers
0345375211,The Book of Lost Tales 1 (The History of Middle-Earth - Volume 1),J. R. R. Tolkien,1992,Del Rey Books
0140042520,Dharma Bums,Jack Kerouac,1991,Penguin Books
0380789035,American Gods,Neil Gaiman,2002,HarperTorch
0345358791,2061: Odyssey Three,Arthur C. Clarke,1991,Del Rey Books
0060964049,"Tales of the City (Tales of the City Series, V. 1)",Armistead Maupin,1989,Perennial
0812551389,"The Skystone (Whyte, Jack. Camulod Chronicles, Bk. 1.)",Jack Whyte,1996,Forge
0345316991,White Gold Wielder Chronicles 3 (Second Chronicles of Thomas Covenant),Stephen R Donaldson,1984,Ballantine Books
034531011X,"Lord Foul's Bane (The Chronicles of Thomas Covenant the Unbeliever, Book One)",Stephen R. Donaldson,1978,Del Rey Books
0679734058,Killing Mister Watson,Peter Matthiessen,1991,Vintage Books USA
0440206154,Red Dragon,Thomas Harris,2000,Dell Publishing Company
0345370775,Jurassic Park,Michael Crichton,1999,Ballantine Books
0743457943,Trading Places,Fern Michaels,2003,Pocket Star
0373484224,Stanislaski Brothers (Silhouette Promo),Nora Roberts,2000,Silhouette
0312421001,I Thought My Father Was God: And Other True Tales from NPR's National Story Project,Paul Auster,2002,Picador
0380789019,Neverwhere,Neil Gaiman,1998,Avon
0380018179,The Thorn Birds,Colleen McCullough,1978,Avon
067101420X,"Forever... : A Novel of Good and Evil, Love and Hope",Jude Deveraux,2002,Pocket
0679457313,The God of Small Things,Arundhati Roy,1997,Random House Inc
0553571656,The Beekeeper's Apprentice,LAURIE R. KING,1996,Bantam
0312169787,The Red Tent : A Novel,Anita Diamant,1997,St. Martin's Press
0786866276,Mother of Pearl,Melinda Haynes,1999,Hyperion
0140266771,Larry's Party,Carol Shields,1998,Penguin Books
015644450X,In Love &amp; Trouble: Stories of Black Women,Alice Walker,1974,Harvest Books
0679723420,Pale Fire: A Novel (Vintage International),Vladimir Vladimirovich Nabokov,1989,Vintage Books USA
0441004016,The Anubis Gates,Tim Powers,1997,Ace Books
0140620338,Picture of Dorian Gray,Oscar Wilde,0,Penguin Putnam~mass
3257061269,Der Alchimist.,Paulo Coelho,2003,"Diogenes Verlag, Z�?¼rich"
0553572490,Vice,Jane Feather,1996,Bantam
0349103232,The crow road,Iain Banks,1993,Abacus
0679745653,Breakfast at Tiffany's: And Three Stories (First Vintage International),Truman Capote,1993,Vintage Books USA
000649840X,Angelas Ashes,Frank Mccourt,0,Harpercollins Uk
0099771519,Memoirs of a Geisha Uk,Arthur Golden,0,Trafalgar Square
067102535X,"Last Dance, Last Chance (Ann Rule's Crime Files)",Ann Rule,2002,Pocket
0330376136,Once,James Herbert,2002,Pan
0140272658,Are You Experienced?,William Sutcliffe,1998,Penguin Books Ltd
0385720920,Choke,CHUCK PALAHNIUK,2002,Anchor
0385498721,Survivor : A Novel,CHUCK PALAHNIUK,2000,Anchor
0380813815,"Lamb : The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,2003,Perennial
0836217632,The Curse of Madame C : A Far Side Collection,Gary Larson,1994,Andrews McMeel Publishing
0140099832,Lake Wobegon Days,Garrison Keillor,1990,Penguin/Puffin Mass Market (Mm)
0385314744,Rush Limbaugh Is a Big Fat Idiot: And Other Observations,Al Franken,1996,Delacorte Press
0316107417,Happy Trails,Berke Breathed,1990,Little Brown &amp; Co
0894803700,"14,000 Things to Be Happy About",Barbara Ann Kipfer,1990,Workman Publishing
0590457225,Dealing With Dragons (Enchanted Forest Chronicles (Paperback)),Patricia C. Wrede,1992,Scholastic
0316929190,All Too Human : A Political Education,George Stephanopoulos,1999,"Little, Brown"
0140390693,Little Women (Penguin Classics),Louisa May Alcott,1989,Penguin Books
0439404371,The Thief Lord,Cornelia Funke,2002,Scholastic
0679741011,"Sex, Art, and American Culture: Essays",Camille Paglia,1992,Vintage Books USA
0345307674,Return of the Jedi (Star Wars),James Kahn,1983,Del Rey Books
1573225789,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,1997,Riverhead Books
0380754843,Wayside School is Falling Down,Louis Sachar,1990,HarperTrophy
0345368940,The Dolphins of Pern,Anne McCaffrey,1994,Ballantine Books
0553296981,Anne Frank: The Diary of a Young Girl,ANNE FRANK,1993,Bantam
0375724575,The Family Orchard,Nomi Eve,2001,Vintage Books USA
0345285549,Elfstones of Shannara,Terry Brooks,1990,Del Rey Books
0345301870,"Ogre, Ogre",Piers Anthony,1982,Del Rey Books
0451169530,The Stand: Complete and Uncut,Stephen King,1991,Signet Book
067168390X,Lonesome Dove,Larry McMurtry,1988,Pocket
0385335881,Shopaholic Takes Manhattan (Summer Display Opportunity),Sophie Kinsella,2002,Delta
0385335482,Confessions of a Shopaholic (Summer Display Opportunity),SOPHIE KINSELLA,2001,Delta
0553258001,The Cider House Rules,John Irving,1986,Bantam Books
0805063889,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,2001,Metropolitan Books
0553582658,Summer Light,Luanne Rice,2002,Bantam Books
051513399X,Smoke in Mirrors,Jayne Ann Krentz,2002,Jove Books
0373218400,Table For Two,Nora Roberts,2002,Silhouette
0060192895,Hunting Badger,Tony Hillerman,1999,HarperCollins Publishers
0826308791,The Education of Little Tree (A Zia Book),Forrest Carter,1986,University of New Mexico Press
0140259198,The Island of the Day Before,Umberto Eco,1996,Penguin Books
0345435249,Darwin's Radio,Greg Bear,2000,Ballantine Books
0441003257,Good Omens,Neil Gaiman,1996,Ace Books
0451202503,The Songcatcher: A Ballad Novel,Sharyn McCrumb,2002,Signet Book
0446606812,Message in a Bottle,Nicholas Sparks,1999,Warner Vision
0671028375,Fatal Voyage,Kathy Reichs,2002,Pocket
0451181468,Praying for Sleep,Jeffery Deaver,1995,Signet Book
0399149759,Flashback,Nevada Barr,2003,Putnam Publishing Group
0345384733,Red Square,Martin Cruz Smith,1993,Ballantine Books
0671759361,Pearl in the Mist (Landry),V.C. Andrews,1994,Pocket
0399146008,Shock,Robin Cook,2001,G. P. Putnam's Sons
0060930535,The Poisonwood Bible: A Novel,Barbara Kingsolver,1999,Perennial
0375702709,A Lesson Before Dying (Vintage Contemporaries (Paperback)),Ernest J. Gaines,1997,Vintage Books USA
